,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,9.8,15.9,6.3,7.3,2.1,28.0,12.1,10.4,1.5,0.7,3.4
1,Shai Gilgeous-Alexander,OKC,11.0,19.9,8.1,9.1,2.1,32.1,5.1,6.1,1.7,0.5,2.0
2,Kawhi Leonard,LAC,9.7,19.4,6.1,6.8,2.9,28.4,6.0,3.8,2.2,1.0,1.8
3,Giannis Antetokounmpo,MIL,12.0,19.8,6.8,10.8,0.7,31.5,11.8,6.8,0.9,1.1,3.4
4,Luka Doncic,LAL,10.5,22.6,8.9,11.1,3.5,33.5,8.2,8.8,1.4,0.7,4.5
5,Tyrese Maxey,PHI,10.0,21.5,6.2,7.0,3.6,29.7,4.3,6.6,1.6,0.5,2.2
6,Anthony Edwards,MIN,10.0,20.5,6.6,8.0,3.7,30.3,5.9,4.2,1.5,0.8,3.3
7,Austin Reaves,LAL,8.1,15.1,6.5,7.3,2.8,25.6,5.2,5.5,0.8,0.3,2.6
8,Donovan Mitchell,CLE,9.5,19.9,5.0,5.8,4.0,28.0,4.4,5.5,1.6,0.5,3.0
9,Stephen Curry,GS,9.8,21.0,4.8,5.2,4.8,29.3,3.9,5.0,1.0,0.4,2.8
10,Cade Cunningham,DET,9.8,21.3,4.9,5.8,2.3,26.8,5.6,10.0,1.5,0.9,4.7
11,Victor Wembanyama,SA,8.3,16.8,4.8,5.9,1.5,22.9,10.1,3.4,0.9,2.4,3.4
12,Jalen Johnson,ATL,8.8,17.0,4.4,5.4,1.7,23.8,10.2,8.2,1.2,0.4,3.5
13,Jamal Murray,DEN,9.4,19.0,3.5,4.0,3.5,25.9,4.4,6.9,1.0,0.5,2.4
14,James Harden,LAC,7.4,16.7,8.3,9.3,3.3,26.3,4.4,7.6,1.1,0.2,3.4
15,Scottie Barnes,TOR,7.9,15.5,3.0,3.6,1.1,19.9,9.4,5.2,1.4,1.4,2.8
16,Karl-Anthony Towns,NY,7.6,15.9,5.3,6.1,1.7,22.3,12.1,3.0,1.2,0.6,2.4
17,Kevin Durant,HOU,9.6,18.4,5.0,5.6,2.0,26.2,4.2,4.1,0.6,1.1,3.0
18,Derrick White,BOS,7.0,16.5,2.7,3.2,3.6,20.2,5.0,5.4,1.5,1.6,2.5
19,Alperen Sengun,HOU,8.8,17.0,4.2,5.7,0.6,22.5,9.8,6.4,1.5,1.0,3.2
20,Chet Holmgren,OKC,6.5,12.0,3.2,4.0,1.7,17.9,9.5,2.1,0.8,1.8,2.0
21,Keyonte George,UTA,7.9,17.7,6.3,7.2,2.7,24.9,4.4,6.8,1.0,0.4,3.1
22,Lauri Markkanen,UTA,9.1,19.0,5.2,5.8,3.2,26.5,6.9,2.0,0.8,0.2,1.7
23,Jalen Brunson,NY,10.3,21.0,5.5,6.5,3.1,29.2,3.0,6.5,0.9,0.2,2.4
24,Jaylen Brown,BOS,11.9,25.0,4.7,6.1,2.2,30.7,6.2,5.5,1.4,0.6,2.6
25,Jimmy Butler,GS,6.6,13.2,6.8,8.0,0.8,20.8,6.4,5.0,1.5,0.2,1.5
26,Devin Booker,PHO,9.0,19.2,5.9,6.7,2.0,25.9,4.3,6.0,1.0,0.3,3.0
