,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,10.6,17.5,6.3,7.4,2.1,29.6,12.2,10.9,1.4,0.8,3.5
1,Shai Gilgeous-Alexander,OKC,11.1,19.9,8.3,9.2,1.9,32.3,4.4,6.2,1.3,0.8,2.0
2,Tyrese Maxey,PHI,10.6,22.5,5.4,6.1,3.5,30.1,4.3,6.8,2.1,1.0,2.5
3,Kawhi Leonard,LAC,9.7,19.5,5.8,6.1,2.9,28.1,6.2,3.5,2.2,0.6,2.1
4,Victor Wembanyama,SA,8.5,16.6,5.7,6.7,1.9,24.5,10.9,2.9,0.8,2.6,2.7
5,Luka Doncic,LAL,10.5,22.6,9.0,11.4,3.4,33.4,7.8,8.7,1.6,0.5,4.3
6,Stephen Curry,GS,9.1,19.3,4.6,5.0,4.6,27.4,3.7,4.9,1.1,0.4,2.8
7,Kevin Durant,HOU,9.2,17.9,5.5,6.2,2.3,26.3,5.4,4.6,0.8,1.0,3.1
8,Austin Reaves,LAL,8.2,16.2,7.5,8.6,2.7,26.6,5.2,6.3,1.0,0.2,3.3
9,James Harden,LAC,7.5,17.9,7.8,8.7,3.1,25.8,4.8,8.1,1.3,0.3,3.7
10,Donovan Mitchell,CLE,10.0,20.8,5.1,6.1,3.8,29.0,4.8,5.7,1.5,0.2,3.1
11,Jamal Murray,DEN,9.3,18.9,4.0,4.5,3.4,26.0,4.3,7.3,1.0,0.3,2.4
12,Giannis Antetokounmpo,MIL,10.5,16.2,6.5,9.9,0.5,28.0,10.0,5.6,0.9,0.7,3.3
13,Walker Kessler,UTA,5.2,7.4,2.8,4.0,1.2,14.4,10.8,3.0,1.4,1.8,3.2
14,Cade Cunningham,DET,8.8,19.4,5.9,7.2,1.9,25.3,5.8,9.7,1.5,0.8,3.9
15,Jalen Johnson,ATL,8.6,16.9,4.3,5.5,1.6,23.2,10.5,8.0,1.2,0.5,3.5
16,Lauri Markkanen,UTA,9.5,19.7,6.0,6.8,2.9,27.9,7.2,2.2,1.0,0.5,1.6
17,Trey Murphy III,NO,7.8,15.8,3.6,4.0,3.1,22.3,6.0,3.6,1.6,0.3,1.9
18,Anthony Edwards,MIN,10.2,20.7,5.7,7.2,3.5,29.6,5.1,3.7,1.3,0.8,2.6
19,Scottie Barnes,TOR,7.7,15.3,3.3,4.0,1.0,19.7,8.2,5.5,1.3,1.4,2.7
20,Keyonte George,UTA,7.6,16.6,6.5,7.1,2.6,24.4,3.9,6.7,1.1,0.3,3.4
21,Chet Holmgren,OKC,6.8,11.8,3.1,4.0,1.4,18.0,8.5,1.6,0.6,2.0,1.7
22,Michael Porter Jr.,BKN,9.0,18.7,3.7,4.4,3.8,25.4,7.4,3.2,1.0,0.2,2.5
23,Karl-Anthony Towns,NY,6.8,14.5,5.5,6.4,1.7,20.8,11.5,3.0,0.9,0.7,2.6
